+	1	10	2391	
+	1	26	5117	
+	1	22	5127	
-	1	29	5155	
+	1	5	11649	
+	1	26	13321	
+	1	13	14053	
+	1	20	27238	
-	1	9	31622	
+	1	22	32432	
+	1	11	33360	
-	1	18	33363	
+	1	15	33371	
+	1	31	33414	
+	1	18	33441	
+	1	13	33545	
+	1	15	33561	
+	1	9	33758	
+	1	25	33818	
+	1	15	33874	
+	1	4	33940	
+	1	25	34163	
+	1	17	34200	
+	1	23	34287	
+	1	31	34347	
+	1	13	34466	
+	1	15	34556	
+	1	17	34565	
+	1	21	34820	
+	1	10	34829	
+	1	14	35148	
+	1	22	35197	
+	1	10	35520	
+	1	4	35581	
+	1	5	35669	
+	1	28	35917	
+	1	26	35945	
+	1	10	36227	
+	1	9	37124	
+	1	33	37160	
+	1	40	37782	
+	1	13	38928	
+	1	20	39262	
+	1	15	40882	
+	1	22	40987	
+	1	23	41096	
+	1	1	41687	
+	1	18	42679	
-	1	12	42853	
-	1	1	42919	
-	1	4	42921	
-	1	2	43970	
-	1	20	44107	
-	1	5	44159	
-	1	19	45115	
+	1	9	46024	
+	1	9	46357	
+	1	43	46487	
+	1	17	46677	
+	1	31	46812	
+	1	20	46886	
+	1	18	47373	
+	1	15	47468	
+	1	14	47641	
+	1	15	47827	
+	1	24	47874	
+	1	1	47934	
+	1	14	48207	
+	1	22	48745	
+	1	7	49201	
+	1	18	49912	
+	1	12	49972	
+	1	10	50352	
+	1	26	51826	
-	1	13	51871	
-	1	14	52117	
-	1	15	52225	
-	1	11	52350	
-	1	11	52533	
-	1	16	52534	
-	1	5	52538	
-	1	7	53052	
-	1	24	53644	
-	1	7	53661	
-	1	16	53769	
-	1	19	54050	
-	1	19	56448	
-	1	28	56632	
-	1	8	57377	
+	1	21	57661	
+	1	30	57845	
-	1	28	57959	
-	1	24	57975	
-	1	19	57985	
-	1	29	58016	
-	1	25	58214	
-	1	19	58305	
-	1	24	58344	
-	1	14	59038	
-	1	12	59350	
+	1	10	59466	
-	1	16	59936	
-	1	10	60076	
-	1	1	60839	
+	1	31	61500	
+	1	23	61575	
+	1	16	61578	
+	1	10	61647	
+	1	14	61786	
+	1	21	61999	
+	1	32	62002	
+	1	41	62041	
+	1	21	62076	
+	1	16	62308	
+	1	13	62357	
+	1	7	62457	
+	1	13	62542	
+	1	7	63588	
+	1	1	63863	
+	1	12	63917	
+	1	16	63996	
+	1	16	65189	
+	1	23	65289	
+	1	18	65457	
-	1	6	65636	
-	1	26	65743	
-	1	9	65793	
-	1	17	65800	
-	1	12	65826	
-	1	13	66080	
-	1	16	66084	
-	1	34	66200	
-	1	22	66211	
-	1	10	66262	
-	1	5	66351	
-	1	9	66779	
-	1	3	66816	
-	1	34	66894	
-	1	18	66900	
-	1	14	66920	
-	1	5	66921	
-	1	1	66932	
-	1	26	66941	
-	1	43	66943	
-	1	15	67012	
-	1	5	67030	
-	1	30	67207	
-	1	16	67261	
-	1	14	67372	
-	1	26	67543	
-	1	13	67619	
-	1	12	67645	
-	1	16	68667	
-	1	17	68840	
-	1	22	69084	
-	1	3	69408	
-	1	15	69531	
+	1	19	71175	
+	1	15	71650	
+	1	25	71778	
+	1	15	71783	
+	1	70	71786	
+	1	32	71793	
+	1	20	71798	
+	1	53	71813	
+	1	10	71815	
+	1	91	71816	
+	1	26	71817	
+	1	8	71819	
+	1	50	71837	
+	1	51	71838	
+	1	27	71839	
+	1	35	71866	
+	1	34	71880	
+	1	125	71883	
+	1	14	71886	
+	1	11	71887	
+	1	141	71888	
+	1	27	71889	
+	1	15	71892	
+	1	17	71893	
+	1	131	71894	
+	1	17	71895	
+	1	75	71897	
+	1	53	71901	
+	1	19	71902	
+	1	17	71903	
+	1	21	71905	
+	1	4	71921	
+	1	29	71923	
+	1	19	71924	
+	1	13	71925	
+	1	15	71930	
+	1	35	71941	
+	1	16	71944	
+	1	28	71947	
+	1	12	71950	
+	1	41	71962	
+	1	10	71992	
+	1	25	71997	
+	1	15	72009	
+	1	29	72011	
+	1	16	72020	
+	1	11	72021	
+	1	16	72039	
+	1	15	72051	
+	1	15	72054	
+	1	20	72066	
+	1	54	72069	
+	1	117	72075	
+	1	63	72120	
+	1	16	72122	
+	1	114	72123	
+	1	20	72125	
+	1	52	72126	
+	1	6	72127	
+	1	73	72136	
+	1	53	72138	
+	1	23	72139	
+	1	73	72141	
+	1	7	72142	
+	1	13	72150	
+	1	24	72152	
+	1	89	72153	
+	1	18	72162	
+	1	34	72169	
+	1	18	72172	
+	1	17	72173	
+	1	19	72186	
+	1	14	72189	
+	1	40	72195	
+	1	15	72196	
+	1	7	72197	
+	1	19	72198	
+	1	13	72201	
+	1	9	72202	
+	1	53	72207	
+	1	3	72213	
+	1	16	72215	
+	1	44	72219	
+	1	32	72222	
+	1	3	72224	
+	1	28	72225	
+	1	15	72234	
+	1	11	72237	
+	1	10	72238	
+	1	20	72243	
+	1	57	72246	
+	1	34	72248	
+	1	11	72250	
+	1	13	72251	
+	1	9	72252	
+	1	18	72258	
+	1	7	72259	
+	1	19	72260	
+	1	51	72262	
+	1	30	72263	
+	1	75	72265	
+	1	39	72267	
+	1	9	72268	
+	1	37	72270	
+	1	24	72273	
+	1	6	72275	
+	1	8	72338	
+	1	19	72353	
+	1	21	72357	
+	1	24	72358	
+	1	33	72360	
+	1	15	72363	
+	1	41	72377	
+	1	22	72379	
+	1	70	72381	
+	1	18	72382	
+	1	37	72396	
+	1	14	72402	
+	1	7	72411	
+	1	21	72419	
+	1	8	72424	
+	1	21	72429	
+	1	39	72441	
+	1	39	72444	
+	1	26	72456	
+	1	16	72457	
+	1	141	72459	
+	1	26	72460	
+	1	10	72461	
+	1	7	72467	
+	1	28	72470	
+	1	1	72473	
+	1	23	72475	
+	1	19	72476	
+	1	57	72478	
+	1	19	72483	
+	1	11	72498	
+	1	36	72504	
+	1	29	72520	
+	1	20	72522	
+	1	22	72528	
+	1	26	72530	
+	1	7	72532	
+	1	40	72540	
+	1	59	72545	
+	1	35	72554	
+	1	44	72569	
+	1	13	72571	
+	1	11	72579	
+	1	10	72587	
+	1	19	72591	
+	1	11	72602	
+	1	8	72605	
+	1	52	72606	
+	1	18	72607	
+	1	6	72608	
+	1	8	72618	
+	1	16	72622	
+	1	26	72623	
+	1	17	72625	
+	1	13	72663	
+	1	21	72669	
+	1	18	72678	
+	1	1	72687	
+	1	57	72688	
+	1	27	72705	
+	1	10	72719	
+	1	148	72720	
+	1	2	72722	
+	1	54	72726	
+	1	20	72727	
+	1	39	72731	
+	1	9	72732	
+	1	27	72734	
+	1	7	72735	
+	1	22	72736	
+	1	44	72737	
+	1	26	72750	
+	1	7	72752	
+	1	15	72753	
+	1	20	72775	
+	1	14	72803	
+	1	17	72807	
+	1	18	72819	
+	1	30	72822	
+	1	12	72825	
+	1	45	72828	
+	1	7	72829	
+	1	18	72839	
+	1	54	72840	
+	1	14	72842	
+	1	33	72845	
+	1	30	72846	
+	1	19	72847	
+	1	32	72849	
+	1	131	72852	
+	1	50	72856	
+	1	12	72859	
+	1	55	72861	
+	1	1	72864	
+	1	28	72868	
+	1	3	72872	
+	1	29	72875	
+	1	17	72876	
+	1	6	72877	
+	1	23	72880	
+	1	30	72882	
+	1	12	72883	
+	1	57	72888	
+	1	81	72890	
+	1	12	72901	
+	1	2	72902	
+	1	37	72910	
+	1	23	72921	
+	1	27	72929	
+	1	8	72930	
+	1	27	72932	
+	1	15	72935	
+	1	9	72937	
+	1	12	72938	
+	1	18	72939	
+	1	50	72940	
+	1	58	72941	
+	1	24	72942	
+	1	5	72945	
+	1	9	72948	
+	1	1	72950	
+	1	29	72951	
+	1	22	72963	
+	1	26	72978	
+	1	17	72981	
+	1	11	72986	
+	1	11	72997	
+	1	19	73004	
+	1	29	73005	
+	1	19	73006	
+	1	46	73007	
+	1	40	73008	
+	1	5	73010	
+	1	47	73011	
+	1	11	73039	
+	1	21	73049	
+	1	1	73063	
+	1	22	73066	
+	1	12	73067	
+	1	15	73070	
+	1	16	73078	
+	1	28	73087	
+	1	17	73088	
+	1	36	73094	
+	1	30	73106	
+	1	21	73113	
+	1	7	73115	
+	1	17	73116	
+	1	11	73117	
+	1	12	73118	
+	1	15	73119	
+	1	20	73121	
+	1	45	73122	
+	1	18	73123	
+	1	1	73125	
+	1	13	73128	
+	1	19	73129	
+	1	22	73131	
+	1	10	73141	
+	1	15	73142	
+	1	35	73146	
+	1	63	73149	
+	1	13	73150	
+	1	4	73152	
+	1	1	73159	
+	1	1	73160	
+	1	67	73164	
+	1	12	73165	
+	1	117	73167	
+	1	16	73168	
+	1	18	73170	
+	1	11	73171	
+	1	18	73175	
+	1	62	73176	
+	1	25	73182	
+	1	18	73183	
+	1	290	73188	
+	1	50	73191	
+	1	14	73195	
+	1	26	73196	
+	1	51	73200	
+	1	16	73201	
+	1	117	73202	
+	1	13	73204	
+	1	31	73205	
+	1	30	73206	
+	1	30	73210	
+	1	32	73215	
